PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,METRO,BUS,RENFE,BICIMAD,APARCAMIENTOS,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
1913,Centro Cultural Juan Gris (Moncloa - Aravaca),,"Lunes, martes y miércoles, de 10 a 13:30 horas. Lunes y martes, de 16 a 17:30 horas.  Semana San Isidro: de lunes de viernes, de 10 a 13:30 horas.  Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Francos Rodríguez (línea 7).  |BUS: 126, 127, 132, 64, 128, 44.",Francos Rodríguez (línea 7).  ,"126, 127, 132, 64, 128, 44.",Sin renfe,Sin renfe,Sin renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79a81e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE FRANCOS RODRÍGUEZ,100,MONCLOA-ARAVACA,40.457862962907384,-3.71225373746578,914 507 865,ccjuangris@madrid.es,CentrosCulturales
1911,Centro Cultural Julio Cortázar (Moncloa - Aravaca),,"Lunes a viernes, de 9:30 a 13:30. Lunes a jueves de 17 a 19 horas.     Julio: Lunes a viernes de 9:30 a 13:30 y lunes a jueves de 17 a 18 horas.     Agosto: Lunes a viernes de 9:30 a 13:30.     Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Valdezarza (línea 7) y Antonio Machado (línea 7).    |BUS: 127, 132, 126.",Valdezarza (línea 7) y Antonio Machado (línea 7).    ,"127, 132, 126.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cfc81e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE ANTONIO MACHADO,20,MONCLOA-ARAVACA,40.46678159096302,-3.7195669111891703,913 734 375,ccjcortazar@madrid.es,CentrosCulturales
1917,Centro Cultural La Vaguada (Fuencarral - El Pardo),,Secretaría: de lunes a jueves de 9 a 14 y de 16 a 19 horas.,"|METRO: Barrio del Pilar (línea 9). |BUS: 49 , 83 , 128 , 132 , 137",Barrio del Pilar (línea 9). ,"49 , 83 , 128 , 132 , 137",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09691e79ee71c010VgnVCM1000000b205a0aRCRD,AVENIDA MONFORTE DE LEMOS,38,FUENCARRAL-EL PARDO,40.47900813206291,-3.709138377702435,915 886 883,cclavaguada@madrid.es,CentrosCulturales
4606802,Centro Cultural Las Californias (Retiro),,De 9 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,"|METRO: Puente de Vallecas (línea 1) , Mendez Álvaro (línea 6)  |BUS: 113, 148  |RENFE RENFE: Mendez Álvaro Estación Sur (líneas C1, C5, C7, C10, Regional)","Puente de Vallecas (línea 1) , Mendez Álvaro (línea 6)  ","113, 148  ","Mendez Álvaro Estación Sur (líneas C1, C5, C7, C10, Regional)","Mendez Álvaro Estación Sur (líneas C1, C5, C7, C10, Regional)","Mendez Álvaro Estación Sur (líneas C1, C5, C7, C10, Regional)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD,CALLE LUIS PEIDRO,2,RETIRO,40.397021560779024,-3.6738766514153163,915 016 942,cclascalifornias@madrid.es,CentrosCulturales
1918,Centro Cultural Lavapiés (Centro),,"De lunes a jueves, de 9 a 14 y de 16 a 18 horas. Viernes, de 9 a 14 horas.   Julio y septiembre, de 9 a 14 horas.   Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Lavapiés (línea 3).  |BUS: M1  |BICIMAD: Estación 43 (calle Lavapiés, 34-36) / Estación 53 (calle Valencia, 1)",Lavapiés (línea 3).  ,M1  ,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f891e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE OLIVAR,46,CENTRO,40.40967898937472,-3.7015569791252063,915 060 712,cclavapies@madrid.es,CentrosCulturales
1938,Centro Cultural Lope de Vega (Puente de Vallecas),,"Lunes a viernes, de 9 a 13:45 horas y de 17 a 18:45 horas. Verano, de lunes a viernes de 8:30 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 102, 24.  |RENFE: Asamblea de Madrid-Entrevías (línea C2).",Sin metro,"102, 24.  ",Asamblea de Madrid-Entrevías (línea C2).,Asamblea de Madrid-Entrevías (línea C2).,Asamblea de Madrid-Entrevías (línea C2).,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE CONCEJO DE TEVERGA,1,PUENTE DE VALLECAS,40.386296991431074,-3.671858416387963,917 570 580,cclopedevega@madrid.es,CentrosCulturales
1973,Centro Cultural Los Rosales (Villaverde),,El horario del Centro Cultural Los Rosales es de 8:00 a 22:00 h de lunes a viernes y de 9:30 a 13:30 h los sábados. Secretaría: de lunes a jueves de 9:30 a 13:30 y de 17:00 a 19:00 y viernes de 9:30 a 13:30 horas. Durante el mes de julio el horario será de 9 a 14 horas.,|BUS: 85,Sin metro,85,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5b91e79ee71c010VgnVCM1000000b205a0aRCRD,AVENIDA LOS ROSALES,133,VILLAVERDE,40.35074797433515,-3.6773064421969233,917 109 273,cclosrosales@madrid.es,CentrosCulturales
6469004,Centro Cultural Mercado de Ibiza (Retiro),,"De lunes a viernes, de 9 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Ibiza (línea 9)  |BUS: 2, 15, 26, 61, 63, 215, C2, 20, 152, C1  |BICIMAD: Estación 181 (calle Ibiza 18)",Ibiza (línea 9)  ,"2, 15, 26, 61, 63, 215, C2, 20, 152, C1  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbeab973f50e7310VgnVCM1000000b205a0aRCRD,CALLE IBIZA,8,RETIRO,40.41817872037522,-3.677376337125393,915 572 601,ccibiza@madrid.es,CentrosCulturales
1933,Centro Cultural Meseta de Orcasitas (Usera),,"De lunes a viernes, 9:30 a 13:30 y de 17 a 20 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 78, 81, 116  |RENFE: Orcasitas (C5)",Sin metro,"78, 81, 116  ",Orcasitas (C5),Orcasitas (C5),Orcasitas (C5),PARTIALLY ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD,PLAZA ASOCIACION,1,USERA,40.36968950845358,-3.7081679144829076,913 415 677 / 913 415 326,ccmesetaorcasitas@madrid.es,CentrosCulturales
1955,Centro Cultural Miguel Hernández (Latina),Información general en el teléfono: 91 706 63 00. Correo electrónico: ccmiguelh@madrid.es . Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano:    Cerrado del 1 al 27 de agosto.   Julio, agosto y septiembre, de 9 a 21 horas. Sábados y domingos cerrado.   Horario de apertura del centro:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.  Horario de atención al público:  Lunes a Viernes de 9 a 14 horas y de 16 a 18 horas.","|BUS. Líneas: 34, 39, 117 y 139. |RENFE RENFE: Línea C 5. Estación: Las Águilas.",Sin metro,"Líneas: 34, 39, 117 y 139. ",Línea C 5. Estación: Las Águilas.,Línea C 5. Estación: Las Águilas.,Línea C 5. Estación: Las Águilas.,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=420a1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE SERRADILLA,13,LATINA,40.378853797128336,-3.7819616113032115,917 066 300 / 917 108 523,ccmiguelh@madrid.es,CentrosCulturales
1972,Centro Cultural Moncloa (Moncloa - Aravaca),,"De lunes a viernes, de 9:30 a 13:30 y de 17 a 19 horas.   Verano: De lunes a viernes de 9:30 a 14 horas.   Semana de San Isidro: De lunes a viernes de 9:30 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Moncloa (líneas 3, 6).  |BUS: 1, 132, 138, 44, 62, 82, C2, 160, 162, 133, 83, C1, 161, G, A, 001, 46, 16, 61.  |BICIMAD: Estaciones 110 (paseo Moret, 2) y 111 a y b (calle Arcipreste de Hita, 12).","Moncloa (líneas 3, 6).  ","1, 132, 138, 44, 62, 82, C2, 160, 162, 133, 83, C1, 161, G, A, 001, 46, 16, 61.  ",Sin renfe,Sin renfe,Sin renfe,"PARTIALLY ACCESSIBLE,SIGN LANGUAGE",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=982a1e79ee71c010VgnVCM1000000b205a0aRCRD,PLAZA MONCLOA,1,MONCLOA-ARAVACA,40.435209393826675,-3.7188765163188293,Sin teléfono,ccmoncloa@madrid.es,CentrosCulturales
1932,Centro Cultural Nicolás Salmerón (Chamartín),,"De lunes a viernes, de 9 a 14 y de 16 a 18 horas.  Julio, de lunes a viernes, de 9 a 15 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Concha Espina (línea 9), Prosperidad (línea 4), Cruz del Rayo (línea 9)  |BUS: 16, 29, 52","Concha Espina (línea 9), Prosperidad (línea 4), Cruz del Rayo (línea 9)  ","16, 29, 52",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE MANTUANO,51,CHAMARTIN,40.44834125150792,-3.6761992414203526,915 103 751,ccnsalmeron@madrid.es,CentrosCulturales
1934,Centro Cultural Orcasur (Usera),,"De lunes a jueves, de 10 a 14 y de 16:30 a 19:30 horas. Viernes, de 10 a 14 horas.   Julio, lunes a viernes, de 10 a 14 horas.  Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 78, 116  |RENFE: Orcasitas (C5)",Sin metro,"78, 116  ",Orcasitas (C5),Orcasitas (C5),Orcasitas (C5),ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b9a1e79ee71c010VgnVCM1000000b205a0aRCRD,PLAZA PUEBLO,2,USERA,40.366772166148415,-3.70113521931168,913 188 090,ccorcasur@madrid.es,CentrosCulturales
1952,Centro Cultural Príncipe de Asturias (Ciudad Lineal),,De lunes a viernes de 8:30 a 22 horas.     Sábados de 09:00 a 22:00 horas.     Verano y Semana de San Isidro de lunes a viernes de 8:30 a 21 horas.,"|METRO: Ciudad Lineal (línea 5)  |BUS: 38, 48, 70, 105, 4, 109, 113",Ciudad Lineal (línea 5)  ,"38, 48, 70, 105, 4, 109, 113",Sin renfe,Sin renfe,Sin renfe,"ACCESSIBLE,TACTILE PAVING,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d1ca1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE HERMANOS GARCIA NOBLEJAS,14,CIUDAD LINEAL,40.43644651057092,-3.6372924261150033,917 767 810,ccprincipeasturias@madrid.es,CentrosCulturales
1920,Centro Cultural Puerta de Toledo (Centro),,"De lunes a jueves, de 9 a 14 y de 15 a 18 horas. Viernes, de 9 a 15 horas. Jullio y septiembre de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Puerta de Toledo (línea 5).  |BUS: 17, 41, 18, 23, 35, C03, C2, 148, SE712, 3, C1  |BICIMAD: Estación 45 (Glorieta Puerta de Toledo, 1)  |APARCAMIENTOS: Puerta Toledo (64), Glorieta Puerta Toledo con vuelta Capitán Salazar Martínez",Puerta de Toledo (línea 5).  ,"17, 41, 18, 23, 35, C03, C2, 148, SE712, 3, C1  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28ea1e79ee71c010VgnVCM1000000b205a0aRCRD,AVENIDA GRAN VIA DE SAN FRANCISCO,2,CENTRO,40.40741060830642,-3.7119168856897677,913 662 728,ccptoledo@madrid.es,CentrosCulturales
114978,Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca),,"Horario secretaría:  De lunes a jueves, de 9 a 14 y de 15 a 18 horas. Viernes, de 9 a 14 horas. Julio, de lunes a viernes, atención presencial de 10:30 a 14, atención telefónica de 9 a 14 horas. Agosto: secreatría cerrada.  Horario centro cultural:  De lunes a viernes, de 9 a 21:30 horas. Sábados, de 9:30 a 21:30 horas. Domingos, de 10:30 a 20:30 horas. Julio, agosto y septiembre, de lunes a domingo de 10:30 a 19:30 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 15 , 28 , 71",Sin metro,"15 , 28 , 71",Sin renfe,Sin renfe,Sin renfe,"ACCESSIBLE,TACTILE PAVING",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcc7cbf06c81c010VgnVCM1000000b205a0aRCRD,CALLE ENRIQUE D'ALMONTE,1,SALAMANCA,40.42206601994432,-3.662968075865235,915 570 808 / 915 570 805 / 915 570 807,quintaberro@madrid.es,CentrosCulturales
4703422,Centro Cultural San Francisco La Prensa (Carabanchel),,"De lunes a viernes, de 10 a 13 y de 16:30 a 18 horas. Viernes, de 10 a 13 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",|METRO: San Francisco (línea 11)  |BUS: 108,San Francisco (línea 11)  ,108,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD,CALLE ALISEDA,4,CARABANCHEL,40.37690319217392,-3.741639735552097,914 284 911,ccprensa@madrid.es,CentrosCulturales
1958,Centro Cultural San Juan Bautista (Ciudad Lineal),,"Lunes a sábado, de 9 a 22 horas. Julio, de lunes a viernes, de 9 a 14 horas. Septiembre, de lunes a viernes, de 9 a 22 horas.","|METRO: Avenida de la Paz (línea 4)  |BUS: 53, 11, 70, 122",Avenida de la Paz (línea 4)  ,"53, 11, 70, 122",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE SAN NEMESIO,4,CIUDAD LINEAL,40.45224737965276,-3.6580402287911937,914 157 705,ccsanjuanbautista@madrid.es,SalasEstudioLectura
6018014,Centro Cultural Sanchinarro (Hortaleza),,"De lunes a viernes, de 10 a 14 y de 16 a 19 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 172, 172SF",Sin metro,"172, 172SF",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12eb70618510f210VgnVCM1000000b205a0aRCRD,CALLE PRINCESA DE EBOLI,29,HORTALEZA,40.49035310157377,-3.655261744717257,915 000 603,info@centroculturalsanchinarro.com,CentrosCulturales
115404,Centro Cultural Sara Montiel (Latina),Información general en el teléfono: 91 512 08 90. Correo electrónico: cccampamento@madrid.es . Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano:    Cerrado del 1 al 27 de agosto.   Julio, agosto y septiembre, de 9 a 21 horas de lunes a viernes. Sábados y domingos cerrado.   Horario de apertura del centro:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.  Horario de atención al público:  De lunes a viernes de 9 a 14 horas y de 16:30 a 19 horas.","|METRO. Líneas 10, |METRO Ligero 2 y |METRO Ligero 3. Estación: Colonia Jardín. |BUS: Línea 65 y línea H.","Líneas 10, ",Línea 65 y línea H.,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c957cbf06c81c010VgnVCM1000000b205a0aRCRD,CARRETERA BOADILLA DEL MONTE,40,LATINA,40.399764677637116,-3.775144917950534,915 120 890,ccsaramontiel@madrid.es,CentrosCulturales
1994,Centro Cultural Usera 1,,"De lunes a viernes, de 9 a 13 y de 17 a 19:30 horas.  Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Plaza Elíptica (línea 6)  |BUS: 6, 60, 81",Plaza Elíptica (línea 6)  ,"6, 60, 81",Sin renfe,Sin renfe,Sin renfe,PARTIALLY ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=54fb1e79ee71c010VgnVCM1000000b205a0aRCRD,AVENIDA RAFAELA YBARRA,49,USERA,40.381095838993176,-3.710973351109332,915 887 214,ccusera@madrid.es,CentrosCulturales
7416137,Centro Cultural Usera 2,,"Atención al público en el Centro Cultural Usera 1.   De lunes a viernes, de 9 a 13 y de 17 a 19:30 horas. Julio, agosto y septiembre, cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",|METRO: Usera (línea 6)  |BUS: 6,Usera (línea 6)  ,6,Sin renfe,Sin renfe,Sin renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3cadb2cffdc15410VgnVCM1000000b205a0aRCRD,CALLE FELIPE CASTRO,30,USERA,40.38429664257218,-3.7090866533057723,915 887 214 / 914 764 204,ccusera@madrid.es,CentrosCulturales
123948,Centro Cultural Valdebernardo (Vicálvaro),,De lunes a viernes de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,"|METRO: Valdebernardo (línea 9).  |BUS: 130, 71, 8.",Valdebernardo (línea 9).  ,"130, 71, 8.",Sin renfe,Sin renfe,Sin renfe,PARTIALLY ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69188899fc81c010VgnVCM1000000b205a0aRCRD,BULEVAR INDALECIO PRIETO,21,VICALVARO,40.399832138328044,-3.6212720265227873,913 016 460 / 913 016 462,ccvaldebernardo@madrid.es,CentrosCulturales
1980,Centro Cultural Zazuar (Villa de Vallecas),,"De lunes a viernes, de 9 a 19:30 horas. Julio y agosto, de lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 58, 63, 145",Sin metro,"58, 63, 145",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE ZAZUAR,4,VILLA DE VALLECAS,40.38281899948726,-3.606140062044455,913 322 529,cczazuar@madrid.es,CentrosCulturales
1953,Centro Cultural el Madroño (Vicálvaro),,De lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,"|METRO: Vicálvaro (línea 9).  |BUS: 130, 100",Vicálvaro (línea 9).  ,"130, 100",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=57b63d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE VILLARDONDIEGO,36,VICALVARO,40.40529229274289,-3.6086152959929514,917 753 140,ccelmadrono@madrid.es,CentrosCulturales
1940,Centro Cultural el Torito (Moratalaz),,"De lunes a viernes de 9 a 13:30 y de 17 a 18:30 horas. Julio, de lunes a viernes de 9 a 13:30 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",|METRO: Artilleros (línea 9)  |BUS: 32,Artilleros (línea 9)  ,32,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD,AVENIDA MORATALAZ,130,MORATALAZ,40.40609591857167,-3.646536107063507,913 287 385,cceltorito@madrid.es,CentrosCulturales
1951,Centro Cultural la Elipa (Ciudad Lineal),,"De lunes a sábado, de 9 a 22 horas. Julio, de lunes a viernes, de 9 a 15 horas. Septiembre, de lunes a viernes, de 9 a 22 horas. Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: La Elipa (línea 2).  |BUS: 110, 113, 210, 15, 28",La Elipa (línea 2).  ,"110, 113, 210, 15, 28",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c191e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE SANTA FELICIDAD,39,CIUDAD LINEAL,40.42447060804354,-3.6504253324201104,914 055 312,ccelipa@madrid.es,CentrosCulturales
112637,Centro Integrado Santiago Apóstol (Hortaleza),,"De lunes a viernes, de 9 a 14 horas y de 16 a 21 horas. Agosto cerrado  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Manoteras (línea 4).  |BUS: 7, 29, 129.",Manoteras (línea 4).  ,"7, 29, 129.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38f415a11a81c010VgnVCM1000000b205a0aRCRD,CALLE CARRION DE LOS CONDES,73,HORTALEZA,40.4760846979538,-3.6581195337045274,913 835 941,Sin email,CentrosCulturales
4703662,Centro Juvenil Carabanchel Alto,"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes. Información sobre las actividades y cesión de espacios: Correo:  actividadescarabanchel@gmail.com   Teléfono de contacto: 914006417 Teléfono: 915118980 Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario.","Horario de apertura del centro: de lunes a viernes de 10 a 14:30 horas y de 15:30 a 21 horas. Los sábados de 11 a 21 horas.  Horario de atención al público: lunes y sábado de 13 a 14:30 horas y de 15:30 a 21 horas. Los martes, miércoles, jueves y viernes de 10 a 14 horas y de 15:30 a 21 horas.   Cierres para 2023: 1 y 6 de enero, 20 de marzo, 6, 7 y 8 de abril, 1, 2 y 15 de mayo, TODO EL MES DE AGOSTO, 12 de octubre, 1 y 9 de noviembre, 6, 8, 24, 25 y 31 de diciembre.  El centro permanecerá cerrado todos los domingos.",|METRO: La Peseta (línea 11) |BUS: 35 y 47,La Peseta (línea 11) ,35 y 47,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2565d2d6fe9a6110VgnVCM1000000b205a0aRCRD,CALLE ALFONSO FERNANDEZ,23,CARABANCHEL,40.366822704148795,-3.755451103709316,915 118 980 Móvil/WhatsApp: 636 04 55 86,cj5carabanchel@madrid.es,OficinasInformacionJuvenil
146682,Centro Juvenil El Aleph (Villa de Vallecas),"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes.  Información sobre las actividades y cesión de espacios:   Correo:  actividadeselaleph@gmail.com    Teléfono: 913 312 725 Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario.",Horario de apertura del centro: de lunes a domingo de 8:30 a 21 horas. Agosto cerrado.  Horario de atención al público ( cuando están los monitores) Lunes y sábado :13:00 a 15:00 / 16:00 a 21: 00h martes a viernes :10:00  a 15:00 / 16:00 a 21:00h domingos: 12:00 a 15:00 /16:00 a 20:00h,"|BUS: 58 , 63 , 145 |RENFE: Santa Eugenia",Sin metro,"58 , 63 , 145 ",Santa Eugenia,Santa Eugenia,Santa Eugenia,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=84869475d381c010VgnVCM1000000b205a0aRCRD,CALLE ZAZUAR,1,VILLA DE VALLECAS,40.38257934400676,-3.6054546139177392,913 013 457 Móvil/WhatsApp: 683 51 65 65,cj7aleph@madrid.es,OficinasInformacionJuvenil
