Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column,Counties,Zip Code,Town Index,Planning Regions
NBCSG,Unnamed Road,Stamford,24 hours daily,NONE,8,NONE,NONE,POINT (-73.5160366 41.0532451),1040,7,135,9
Napoli Nissan,688 Bridgeport Ave,Milford,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.083686 41.209761),1044,193,84,7
Congregational Church of Somersville,22 Maple St,Somersville,24 hours daily,NONE,2,NONE,NONE,POINT (-72.489406 41.983904),38,143,129,1
I-95 Darien NB Service Plaza - Tesla Supercharger,1 E Trail,Darien,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-73.462202 41.079848),1040,5,35,9
Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.909054 41.359826),1044,198,62,7
City of Milford - Parsons Government Center,70 W River St,Milford,24 hours daily,NONE,1,NONE,NONE,POINT (-73.062364 41.226575),1044,193,84,7
Hoffman Nissan,46 Albany Turnpike,West Simsbury,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.869319 41.820371),1041,186,128,1
Premier Chevrolet,512 Providence Rd,Brooklyn,Dealership business hours,NONE,1,NONE,NONE,POINT (-71.906607 41.798222),39,37,19,5
The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-72.815676 41.45749),1044,195,148,7
HONDADANBURY,102 Federal Rd,Danbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4232598 41.4158651),1040,1,34,9
Village Center,87 Main St,East Hampton,24 hours daily,NONE,1,NONE,NONE,POINT (-72.501947 41.575311),1043,273,42,3
Connecticut Department of Corrections,38 Wolcott Hill Rd,Wethersfield,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6724543999999 41.725002),1041,261,159,1
Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,Stamford,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-73.53513900000002 41.051614),1040,203,135,9
Woodbridge Town Library,10 Newton Rd,Woodbridge,24 hours daily,NONE,2,NONE,NONE,POINT (-73.011407 41.353582),1044,61,167,7
Waterworks - Tesla Destination,60 Backus Ave,Danbury,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-73.491965 41.370291),1040,1,34,9
Town of East Haven,250 Main St,East Haven,24 hours daily,NONE,1,NONE,NONE,POINT (-72.871663 41.277368),1044,130,44,7
DECORMIER NISS,30 Tolland Turnpike,Manchester,24 hours daily,NONE,NONE,1,NONE,POINT (-72.5090873 41.813843),1041,161,77,1
Lia Nissan - Enfield,10 Palomba Dr,Enfield,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.574713 41.997574),1041,108,49,1
North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North Canaan,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.322808 42.024351),1042,233,100,6
Lombard Ford,385 New Hartford Rd,Barkhamsted,Dealership business hours; customer use only,NONE,2,NONE,NONE,POINT (-73.042576 41.909753),1042,48,5,6
Danbury Fair Mall,7 Backus Ave,Danbury,24 hours daily,NONE,NONE,2,NONE,POINT (-73.47904 41.380158),1040,1,34,9
City of Milford - Public Library,57 New Haven Ave,Milford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.053647 41.221934),1044,193,84,7
Public Parking Lot,1 Morse Ct,New Canaan,Parking lot hours,NONE,1,NONE,NONE,POINT (-73.4924 41.1464),1040,180,90,9
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,NONE,NONE,2,NONE,POINT (-73.009059 41.245823),1044,193,84,7
TS,1 American Ln,Greenwich,24 hours daily,NONE,2,NONE,NONE,POINT (-73.7226456 41.0983971),1040,215,57,9
Russell Mercier Senior Center,14 Stonecroft Dr,Hebron,24 hours daily,NONE,2,NONE,NONE,POINT (-72.367191 41.65659),38,68,67,1
Roger Ludlowe School,689 Unquowa Rd,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.261769 41.148757),1040,111,51,2
Town of Hebron,15 Gilead St,Hebron,24 hours daily,NONE,2,NONE,NONE,POINT (-72.366742 41.658572),38,68,67,1
Southington Municipal Center,200 N Main St,Southington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.87939 41.606301),1041,176,131,1
Middletown School District - Middletown High School,200 LaRosa Ln,Middletown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.681921 41.576716),1043,236,83,3
Town of Groton - Town Hall Annex,134 Groton Long Point Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.009806 41.341893000000006),1045,243,59,8
TOWN HALL,31 Park Street,Guilford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6798002 41.2832367),1044,201,60,7
TRUMBULL MALL,5065 Main Street,Trumbull,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2246399 41.2286526),1040,76,144,2
Parthenon Diner of Old Saybrook - Tesla Destination,809 Boston Post Rd,Old Saybrook,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-72.38345 41.292172),1043,56,106,3
Western Connecticut State University,43 Lake Ave Extension,Danbury,24 hours daily,NONE,1,NONE,NONE,POINT (-73.492801 41.394446),1040,60,34,9
BIG Y FOODS,224 Salem Turnpike,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.12423 41.505790000000005),1045,14,104,8
Ridgeway Shopping Center,2202 Bedford St,Stamford,24 hours daily,NONE,NONE,1,NONE,POINT (-73.545939 41.068654),1040,84,135,9
Clark Memorial Library,538 Amity Rd,Bethany,24 hours daily,NONE,2,NONE,NONE,POINT (-72.99499 41.427276),1044,64,8,7
City of New Haven - Orchard Sherman Parking Lot,102 N Frontage Rd,New Haven,24 hours daily; pay lot,NONE,2,NONE,NONE,POINT (-72.944576 41.306583),1044,275,93,7
Town of Westport - Westport Metro North,1 Railroad Pl,Westport,24 hours daily; pay lot,1,1,NONE,NONE,POINT (-73.369266 41.119291),1040,179,158,9
Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.671661 41.041538),1040,215,57,9
Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.769268 41.692299),1041,110,89,1
Isham Garage,17 Isham Rd,West Hartford,Garage business hours; pay lot,NONE,1,NONE,NONE,POINT (-72.740521 41.760873),1041,158,155,1
GENE LANGAN VW,816 New London Turnpike,Glastonbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.593366 41.704415),1041,90,54,1
I-91 Tech Park,845 Brook St,Rocky Hill,24 hours daily; priority for Connecticut Green Bank employees,NONE,2,NONE,NONE,POINT (-72.676125 41.641774),1041,189,119,1
Homestead Inn - Tesla Destination,5 Elm St,New Milford,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-73.411005 41.580889),1042,88,96,9
Western Connecticut State University,179 White St,Danbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.44475 41.399432),1040,1,34,9
Grace Mayflower Inn and Spa - Tesla Destination,118 Woodbury Rd,"Rte 47, Washington",24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,POINT (-73.305987 41.628601),1042,191,150,6
I-95 Madison SB Service Plaza - Tesla Supercharger,I-95 South Bound,Madison,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-72.5793623215072 41.291902304928),1044,134,76,7
Bishop's Orchards Farm Market,1355 Boston Post Rd,Guilford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.695702 41.290395),1044,201,60,7
Campus at Greenhill,108 Leigus Road,Wallingford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,4,NONE,NONE,POINT (-72.775522 41.478889),1044,195,148,7
Connecticut Department of Motor Vehicles,1365 Highland Ave,Cheshire,9am-5pm M-F,NONE,1,NONE,NONE,POINT (-72.8935933 41.5374181),1044,63,25,4
Town of Glastonbury - Town Hall,2155 Main St,Glastonbury,24 hours daily,NONE,1,NONE,NONE,POINT (-72.611655 41.706856),1041,90,54,1
Green’s Farms Railroad Station,2 Post Office Ln,Westport,24 hours daily,NONE,1,NONE,NONE,POINT (-73.315136 41.122442),1040,179,158,9
Connecticut Insurance Exchange of Southington,1133 Meriden-Waterbury Turnpike,Plantsville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.88305 41.564358),1041,185,131,1
HOFFMAN HONDA 1,40 Albany Turnpike,Simsbury,24 hours daily,NONE,4,NONE,NONE,POINT (-72.869331 41.818224),1041,186,128,1
CT RAIL,51 Depot Rd,Berlin,24 hours daily,NONE,2,NONE,NONE,POINT (-72.7653384 41.6356154),1041,253,7,1
Three Rivers Community College,574 New London Turnpike,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.10451 41.510596),1045,14,104,8
Town of Stafford - Public Works Garage,210 E St,Stafford Springs,24 hours daily,NONE,1,NONE,NONE,POINT (-72.290233 41.984164),38,34,134,1
Woodbridge Town Hall,11 Meetinghouse Ln,Woodbridge,24 hours daily,NONE,2,NONE,NONE,POINT (-73.014176 41.354138),1044,61,167,7
Steelpointe Harbor,255 East Main Street,Bridgeport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,4,NONE,NONE,POINT (-73.18122320000002 41.1781223),1040,2,15,2
COMM LOT STA 1,5 Depot Pl,Bethel,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4145557 41.3703626),1040,77,9,9
The Promenade Shops at Evergreen Walk - Tesla Destination,401 Evergreen Wy,South Windsor,24 hours daily,NONE,2,NONE,NONE,POINT (-72.556345 41.812203),1041,89,132,1
TOWN OF PUTNAM,1-73 Canal St,Putnam,24 hours daily,NONE,2,NONE,NONE,POINT (-71.9098896 41.914513),39,39,116,5
Maritime Garage,11 North Water Street,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-73.418955 41.104278),1040,155,103,9
GE WS - Price Chopper #243 Storrs CT 2,1220  Storrs Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.241315 41.801976),38,33,78,1
Stratford Square,411 Barnum Ave Cutoff,Stratford,24 hours daily,NONE,NONE,8,NONE,POINT (-73.122342 41.198018),1040,178,138,2
Cumberland Farms,471 New Park Ave,West Hartford,24 hours daily,NONE,NONE,1,NONE,POINT (-72.718112 41.741696),1041,213,155,1
City of New Haven - Air Rights Garage,60 York St,New Haven,24 hours daily; pay lot,NONE,5,NONE,NONE,POINT (-72.934141 41.305265),1044,275,93,7
Lime Rock Park - Tesla Destination,60 White Hollow Rd,Lakeville,24 hours daily; for customer use only,NONE,11,NONE,NONE,POINT (-73.389367 41.930342),1042,91,122,6
Danbury Fair Mall - Tesla Supercharger,7 Backus Ave,Danbury,24 hours daily; for Tesla use only,NONE,NONE,10,NONE,POINT (-73.477961 41.379441),1040,1,34,9
Western Connecticut State University,198 White St,Danbury,24 hours daily,NONE,4,NONE,NONE,POINT (-73.443485 41.398492),1040,1,34,9
Coventry High School,78 Ripley Hill Rd,Coventry,24 hours daily,NONE,2,NONE,NONE,POINT (-72.313767 41.782923),38,145,32,1
Bell Street Garage,28 Bell St,Stamford,Restricted to garage hours; pay lot,NONE,3,NONE,NONE,POINT (-73.540733 41.052215),1040,203,135,9
Groton New London Airport,155 Tower Ave,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.044683 41.332527),1045,243,59,8
TEN TEN WASH,1010 Washington Blvd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5431681 41.0535888),1040,203,135,9
RSI EAST,1115 West St,Southington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8973437 41.618456),1041,176,131,1
University of Connecticut - School of Law,55 Elizabeth St,Hartford,Lot business hours,NONE,2,NONE,NONE,POINT (-72.70705 41.772484),1041,10,64,1
CROWLEY VW,245 New Britain Ave,Plainville,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8411522 41.6771741),1041,260,110,1
Homewood Suites,99 Marsh Hill Rd,Orange,For guest use only,NONE,8,NONE,NONE,POINT (-72.998271 41.252117),1044,196,107,7
Asnuntuck Community College,170 Elm St,Enfield,24 hours daily,NONE,3,NONE,NONE,POINT (-72.5697849 42.0000268),1041,108,49,1
Fairfield NB - Tesla Supercharger,165 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,NONE,NONE,12,NONE,POINT (-73.257123 41.146214),1040,111,51,2
Connecticut Department of Energy and Environmental Protection - Marine Headquarters,333 Ferry Rd,Old Lyme,24 hours daily,NONE,2,NONE,NONE,POINT (-72.345572 41.312148),1045,136,105,3
Precision Motors of Mystic,2400 Gold Star Hwy,Mystic,24 hours daily,NONE,2,NONE,NONE,POINT (-71.988657 41.390465),1045,135,59,8
Wesleyan University,161 Cross St,Middletown,24 hours daily,NONE,4,NONE,NONE,POINT (-72.662214 41.550883),1043,236,83,3
BMW BRIDGEPORT,43 North Ave,Bridgeport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.1897466 41.2020685),1040,74,15,2
Connecticut State Capitol,210 Capitol Ave,Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.682868 41.764759),1041,182,64,1
Executive Nissan,900 Universal Dr N,North Haven,Dealership business hours,NONE,1,1,NONE,POINT (-72.870997 41.360892),1044,168,101,7
Propark Harbor Point Gateway Garage - Tesla Destination,406-424 Washington Blvd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.543258 41.045384000000006),1040,7,135,9
Wallingford Shopping Center,930 N Colony Rd,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.807124 41.483774),1044,195,148,7
Fairfield Parks and Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.263962 41.142152),1040,111,51,2
The Westport Library,20 Jesup Road,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.3613829 41.1396711),1040,179,158,9
Homestead Inn - Thomas Henkelmann - Tesla Destination,420 Field Point Rd,Greenwich,24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,POINT (-73.634045 41.015276),1040,6,57,9
MORSCHES FF,95 Reef Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2564712 41.1399023),1040,111,51,2
Panera Bread,1129 Silas Deane Hwy,Wethersfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.656507 41.691611),1041,261,159,1
Hoffman Toyota,36 Albany Turnpike,West Simsbury,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.867973 41.818345),1041,186,128,1
Ferguson Library - Harry Bennett Branch,115 Vine Rd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.544039 41.099044),1040,84,135,9
City of Hartford - Department of Public Works,50 Jennings Rd,Hartford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.652406 41.785974),1041,79,64,1
Hammonasset Beach State Park - North,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,NONE,POINT (-72.561988 41.26449),1044,134,76,7
Metro Center Garage,1 Station Place,Stamford,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,1,NONE,NONE,POINT (-73.54198740000001 41.0457112),1040,7,135,9
Middletown Nissan,1153 Newfield St,Middletown,Dealership business hours,NONE,3,1,NONE,POINT (-72.676141 41.59054),1043,236,83,3
Wesleyan University,Lawn Ave & High St,Middletown,24 hours daily,1,2,NONE,NONE,POINT (-72.65395 41.553597),1043,236,83,3
Newington Town Center - Municipal Parking Lot,83 Market Square,Newington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.721392 41.696446),1041,86,94,1
Ridgeway Shopping Center - Tesla Supercharger,2233 Summer Street,Stamford,24 hours daily; for Tesla use only,NONE,NONE,12,NONE,POINT (-73.546435 41.068704),1040,84,135,9
Connecticut Post Mall - NW Entrance,1201 Boston Post Rd,Milford,6am-12pm daily,NONE,2,NONE,NONE,POINT (-73.036899 41.23608),1044,193,84,7
Girard Nissan,425 Gold Star Hwy,Groton,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.054118 41.370989),1045,243,59,8
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,NONE,NONE,2,NONE,POINT (-73.010522 41.246242),1044,193,84,7
Goodwin University,211 Riverside Dr,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.640075 41.743194),1041,24,43,1
Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,24 hours daily; pay lot,1,1,NONE,NONE,POINT (-72.68182500000002 41.769417),1041,82,64,1
Illiano's Restaurant,257 W Town St,Yantic,11am-10pm daily,NONE,1,NONE,NONE,POINT (-72.113144 41.55775),1045,14,104,8
Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.903596 41.384051),1044,100,62,7
Fairfield Senior Center,100 Mona Terrace,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.26088 41.132277),1040,111,51,2
Butler Street Parking Lot,30 Butler St,Meriden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.805988 41.53697),1044,226,80,7
Propark - 777 Main,777 Main St,Hartford,Restricted to garage hours; pay lot,NONE,17,1,NONE,POINT (-72.67363400000002 41.766034),1041,82,64,1
JOHN ST CHARGER,234 John St,Bridgeport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.1911131 41.1772308),1040,172,15,2
Peck Lane Plaza Shopping Center,550 Boston Post Rd,Orange,24 hours daily,NONE,NONE,1,NONE,POINT (-73.017784 41.251801),1044,196,107,7
PRESTIGE VW,42-46 W Broad St,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5464906 41.0553525),1040,7,135,9
Fairfield Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.264636 41.14221200000001),1040,111,51,2
Norwalk Community College,188 Richards Ave,Norwalk,"7am-10pm M-F, 8am-5pm Sat",NONE,2,NONE,NONE,POINT (-73.452539 41.102848),1040,204,103,9
LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locks,24 hours daily,NONE,2,NONE,NONE,POINT (-72.672748 41.918347),1041,21,165,1
CT RAIL,60 State St,Meriden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8007814 41.5394301),1044,199,80,7
Killingly Town Hall,172 Main St,Killingly,24 hours daily,NONE,1,NONE,NONE,POINT (-71.88232300000001 41.80577),39,71,69,5
Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.768107 41.693501),1041,110,89,1
The Inn at Woodstock Hill,94 Plaine Hill Rd,Woodstock,24 hours daily,1,1,NONE,NONE,POINT (-71.97262186000002 41.94378281),39,70,169,5
Wilton Public Library,137 Old Ridgefield Rd,Wilton,"10am-8pm M-Th, 10am-6pm F, 10am-5pm Sat, 1pm-5pm Sun (Sunday hours in winter only)",NONE,1,NONE,NONE,POINT (-73.43124 41.192802),1040,212,161,9
HAJJAR,213 Court St,Middletown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.65018090000001 41.5590961),1043,236,83,3
Goodwin University,403 Main St,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.639362 41.749499),1041,24,43,1
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.812491 41.274658),1044,170,,
Big Y,1021 Main St,Cheshire,24 hours daily,NONE,2,NONE,NONE,POINT (-72.907523 41.476271),1044,63,25,4
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,6am-12am daily,NONE,2,NONE,NONE,POINT (-73.033472 41.23636),1044,193,84,7
City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 hours daily,NONE,12,NONE,NONE,POINT (-72.648056 41.561647),1043,236,83,3
Ford of Branford,301 E Main St,Branford,Dealership business hours; Ford use only,NONE,2,NONE,NONE,POINT (-72.789844 41.292505000000006),1044,170,14,7
Morton Government Center,239 John St,Bridgeport,24 hours daily,NONE,1,NONE,NONE,POINT (-73.191423 41.177007),1040,172,15,2
Town of Groton - Public Library,52 Newtown Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.028928 41.347552),1045,243,59,8
Burlington Library,34 Library Ln,Burlington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.967327 41.771305),1041,107,20,6
Bruce Bennett Nissan,978 Danbury Rd,Wilton,Dealership business hours,NONE,1,1,NONE,POINT (-73.435546 41.258992),1040,212,161,9
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,24 hours daily; pay lot; see attendant for access,NONE,2,NONE,NONE,POINT (-72.663078 41.951328),1041,115,139,1
Van Wilgen's Garden Center,51 Valley Rd,North Branford,9am-5pm M-F,NONE,1,NONE,NONE,POINT (-72.766102 41.306955),1044,131,99,7
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,24 hours daily,NONE,2,NONE,NONE,POINT (-72.3518219 41.3890729),1045,136,75,3
Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,24 hours daily,NONE,2,NONE,NONE,POINT (-73.075525 41.394315000000006),1044,239,124,4
Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,24 hours daily,NONE,4,NONE,NONE,POINT (-72.091456 41.491597),1045,15,86,8
COMCAST,90 Phoenix Ave,Enfield,24 hours daily,NONE,4,NONE,NONE,POINT (-72.581611 41.977252),1041,108,49,1
Greenlots - 92143,665 Commerce Dr,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.23358 41.163146),1040,111,51,2
777 Main Street - Tesla Supercharger,777 Main Street,Hartford,24 hours daily; for Tesla use only,NONE,NONE,6,NONE,POINT (-72.674129 41.766493),1041,82,64,1
BMW RIDGEFIELD,746 Danbury Rd,Ridgefield,24 hours daily,NONE,NONE,1,NONE,POINT (-73.4722156 41.3305782),1040,43,118,9
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,24 hours daily; see front desk for access,NONE,1,NONE,NONE,POINT (-73.453043 41.092037),1040,155,103,9
BIG Y FOODS,140 suit A West Rd,Ellington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.46388 41.888958),38,142,48,1
Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Shelton,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-73.097982 41.310498),1040,217,126,4
Western Connecticut State University,190 White St,Danbury,24 hours daily,NONE,3,NONE,NONE,POINT (-73.442053 41.39936),1040,1,34,9
MINI OF FFD CTY,154 US-1 154 post rd,Darien,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4569573 41.089032),1040,5,35,9
Delamar West Hartford - Tesla Destination,1 Memorial Rd,West Hartford,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-72.737672 41.760566),1041,251,155,1
Connecticut Department of Motor Vehicles,60 State St,Wethersfield,8am-5pm M-F,NONE,1,NONE,NONE,POINT (-72.655754 41.71866250000001),1041,261,159,1
Mill Plain Diner - Tesla Destination,14 Mill Plain Rd,Danbury,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-73.494706 41.38756),1040,60,34,9
Sherman Green,1451 Post Rd,Fairfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.256774 41.140584),1040,111,51,2
Stamford Government Center Garage,888 Washington Blvd,Stamford,24 hours daily,NONE,3,NONE,NONE,POINT (-73.542499 41.051637),1040,203,135,9
Z Airport Parking,3 International Dr,East Granby,24 hours daily,NONE,1,NONE,NONE,POINT (-72.709138 41.928233),1041,225,40,1
Hyatt Regency Greenwich - Tesla Destination,1800 E Putnam Ave,Greenwich,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-73.566753 41.046329),1040,250,57,9
Surface Parking Lot,121 Main St,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-72.781161 41.666233),1041,17,89,1
Deep River Library,150 Main St,Deep River,24 hours daily; see code on the face of charger or ask librarian to initiate charge,1,1,NONE,NONE,POINT (-72.43670100000001 41.386805),1043,272,36,3
State House Square,10-90 State House Square,Hartford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.671417 41.766822),1041,82,64,1
City of Milford - Train Station Parking,1 Railroad Ave,Milford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.060012 41.222682),1044,193,84,7
Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,NONE,POINT (-72.546017 41.251952),,134,76,7
Grossman Nissan,295 Middlesex Turnpike,Old Saybrook,Dealership business hours,NONE,1,1,NONE,POINT (-72.383105 41.309276),1043,56,106,3
"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,24 hours daily; for customer use only,NONE,4,NONE,NONE,POINT (-72.351072 41.28331),1043,56,106,3
Fairfield Train Station Overflow Lot,140 Mill Plain Rd,Fairfield,24 hours daily; pay lot,NONE,1,NONE,NONE,POINT (-73.264399 41.142923),1040,111,51,2
Metro Center 1,One Station Place,Stamford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-73.542177 41.046112),1040,7,135,9
Dinosaur State Park and Arboretum,400 West St,Rockyhill,Park business hours,NONE,2,NONE,NONE,POINT (-72.658514 41.651179),1041,189,119,1
Staples High School,70 North Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.3304754 41.1526176),1040,179,158,9
Windham Town Hall,979 Main St,Windham,24 hours daily,NONE,2,NONE,NONE,POINT (-72.217506 41.71292),39,207,163,8
West Hartford - Town Hall,50 S Main St,West Hartford,Parking lot business hours,NONE,2,NONE,NONE,POINT (-72.741204 41.758754),1041,158,155,1
Connecticut Welcome Center - Tesla Supercharger,1 E Trail,Darien,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.46135 41.080103),1040,5,35,9
City of New Haven - Temple Street Garage,1 Temple St,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,POINT (-72.928369 41.304245),1044,133,93,7
Minor Memorial Library,23 South St,Roxbury,24 hours daily,NONE,1,NONE,NONE,POINT (-73.30764000000002 41.55358),1042,95,120,6
Szczesny Parking Garage,31 Bank St,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-72.78037 41.666879),1041,17,89,1
GE WS - Price Chopper #243 Storrs CT 1,1220  Storrs Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.241254 41.80199700000001),38,33,78,1
AAMCO EV,133 Pitkin St,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.65266880000001 41.7632299),1041,119,43,1
Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,POINT (-73.201059 41.697035),1042,120,87,6
