farmacia_nro_soe;titular_nombre;direccion_vial_tipo;direccion_vial_nombre;direccion_vial_nro;municipio_nombre;localizacion_coordenada_x;localizacion_coordenada_y
718;Maria Jose Crespo Garrido;CALLE;de Fernando el Católico;17;Madrid;439935;4476151
719;Felipe Garcia Gomez;CALLE;de María del Carmen;61;Madrid;437839;4473160
720;Raquel Molina De La Hoz;CALLE;de Isabelita Usera;29;Madrid;439926;4470575
721;Maria Pilar Fernandez Carballido;CALLE;del Conde Rodríguez San Pedro;45;Madrid;443026;4470616
722;Sebastian Miguel Tallada Frotte;CALLE;de Estella;21;Madrid;442852;4483153
723;Amparo Curras Baeza;CALLE;de Marceliano Santa María;7;Madrid;441595;4478064
724;Ana Isabel Serrano Perez;CALLE;de la Virgen del Portillo;29;Madrid;444889;4476597
725;Mª Cristina Magaña Ferriz;CALLE;del Príncipe de Vergara;257;Madrid;442568;4478625
726;Maria Carmen Agudelo Vazquez;CALLE;de Orense;59;Madrid;441088;4478689
727;Elena Garcia Contenente;CALLE;del Alcalde Sáinz de Baranda;78;Madrid;443408;4474294
729;Jose Manuel Cobo Fernandez;AVDA;de Pablo Neruda;102;Madrid;444914;4470504
730;Ernesto Martin Arribas;PASEO;de la Dirección;376;Madrid;440607;4480368
731;Cristina Sanz Baos;AVDA;de San Diego;70;Madrid;443137;4471052
732;Marta Gonzalez Rodriguez;CALLE;de Alcalá;505;Madrid;446689;4476880
733;Mª Carmen Torres Rodriguez;CALLE;de Velayos;26;Madrid;438425;4479813
734;Monica Ribo Sörensen;CALLE;de Ribadavia;9;Madrid;439762;4480433
735;Mª Pilar Aparicio Lomas;AVDA;de Alfonso XIII;106;Madrid;443451;4478652
736;Aurora Tragacete Arellano;CALLE;de Armando Palacio Valdés;1;Madrid;441685;4477893
738;Delia Balas Fuertes;CALLE;del Marqués de Mondéjar;29;Madrid;443611;4475494
739;Margarita Irene Cantos Morales;CALLE;de Picos de Europa;70;Madrid;444115;4471731
740;Antonio Panizo De Pablo;CALLE;de Gustavo Fernández Balbuena;19;Madrid;443303;4477997
741;Francisco De Borja Esquivias Perez;CALLE;de Cartama;2;Madrid;445703;4470670
742;Carolina Rubio Ruiz De Gopegui;CALLE;de la Costa del Sol;15;Madrid;444672;4480504
743;Monica Bermejo Mañas;CALLE;de San Telesforo;45;Madrid;446307;4475260
744;Lucia Adela De La Torre Riera;CALLE;del Concejal Victorino Granizo;71;Madrid;452327;4472429
745;Maria Josefa Cejudo Fernandez;CALLE;de Clara Schumann;22;Madrid;441747;4467356
746;Graciela Ponte Gonzalez;AVDA;de Oporto;57;Madrid;438190;4470890
747;Maria Leal Lopez;CALLE;de María de Molina;3;Madrid;441522;4476619
748;Gema Perello Gonzalez-Moreno;PASEO;del Zurrón;45;Madrid;450366;4480066
749;Francisco Javier Cerezo Arasti;CALLE;de Almendrales;24;Madrid;440553;4470809
750;Gonzalo Huertas Istillarte;PASEO;de la Castellana;292;Madrid;441914;4481095
751;Maria Paz Sanchez Carrasco;CALLE;del Alto de la Sartenilla;12;Madrid;447915;4468791
752;Marina Pizarro Hervella;CALLE;de Vicente Camarón;10;Madrid;437375;4473093
753;Tomas Richante Astilleros;CALLE;del Príncipe de Vergara;256;Madrid;442611;4478586
754;María Jesús Pérez Pérez;CALLE;del Doctor Esquerdo;89;Madrid;443239;4474285
755;Maria Milagros Ferrer Aldea;CALLE;del Pelícano;15;Madrid;438289;4470582
756;Maria Jose Garcia Garcia;CALLE;de Luis Pando;17;Madrid;436694;4472771
757;Miguel Rafael Lopez Cayre;AVDA;de Nuestra Señora de Fátima;37;Madrid;436664;4470738
758;Iñigo Pallardo Fernandez;AVDA;de Palomeras;121;Madrid;444698;4470881
759;Paloma Callejas Del Castillo;CALLE;de Bravo Murillo;305;Madrid;440855;4479323
760;Antonio Victor Asenjo Barahona;CALLE;de Francisco Silvela;96;Madrid;442474;4476665
761;Carlos Antonio Ceballos Carbonero;CALLE;del Puerto de la Bonaigua;36;Madrid;443563;4470905
762;Mª Francisca Gandarillas Casillas;AVDA;de La Gavia;80;Madrid;447509;4468536
763;Arturo Jimenez Borreguero;CALLE;de Afueras a Valverde;36;Madrid;441399;4483264
764;Maria Esther Lerida Garcia;CALLE;de Andrés Mellado;89;Madrid;439427;4476960
766;Patricia Hurtado Gonzalez;AVDA;de Alberto Alcocer;22;Madrid;441945;4478846
767;Oscar Ignacio Ramirez Jimenez;CALLE;de Eduardo Morales;14;Madrid;437406;4471184
768;Marta Provencio Chicharro;CALLE;de Sierra Toledana;21;Madrid;443948;4472519
769;Pedro Jesus Lopez Romero;AVDA;del Cardenal Herrera Oria;275;Madrid;438617;4481220
770;Isabel Gomez-Chacon Fernandez;AVDA;de la Ciudad de Barcelona;178;Madrid;442623;4472570
771;Paloma De Eguia Diaz De Rada;AVDA;de Orcasur;16;Madrid;440464;4468969
772;Pablo Uriarte Lopez;AVDA;de Espinela;31;Madrid;439712;4466135
773;Margarita Garrido Ochoa;CALLE;de Sierra Salvada;29;Madrid;444884;4471154
774;Cristina Galiano Lopez-Mingo;CALLE;de la Marquesa de Silvela;4;Madrid;439261;4470839
775;Iñigo De Loyola, De Juana Garciaechevarria;CALLE;del Cóndor;4;Madrid;437365;4471528
776;Maria Virtudes Dominguez Lopez;CALLE;del Camino Viejo de Leganés;171;Madrid;437997;4470400
777;Mª Paz Suarez Perez;CALLE;de la Hermandad de Donantes de Sangre;43;Madrid;440486;4467157
778;Victoria Thovar Gomez;CALLE;de Ascao;47;Madrid;445777;4475796
779;Ana Mª Morales Sanchez;CALLE;de San Enrique;18;Madrid;440647;4478602
780;Mª Soledad Pascual Rincon;CALLE;de Berastegui;30;Madrid;445564;4475521
781;Juan Rodriguez Garcia;CALLE;del Lago Constanza;36;Madrid;445109;4475851
782;Luisa Silvina Lopez Cañibano;CALLE;de Esperanza Macarena;29;Madrid;441396;4466731
783;Luz Goya Castroverde;CALLE;de la Fuente del Tiro;3;Madrid;433621;4470702
784;Jose Carlos Areses Garcia Del Valle;CALLE;del Cristo de la Victoria;149;Madrid;440144;4470099
785;Sara Aparicio Merinero;AVDA;de Betanzos;8;Madrid;439648;4480458
786;Enrique Ruiz Invarato;PLAZA;de Setubal;4;Madrid;438568;4470582
787;Mª Cristina De Diego Martinez;CALLE;de Alcalá de Guadaira;9;Madrid;444271;4471178
788;Mª Soledad Garcia Lope;CALLE;de Gerardo Diego;4;Madrid;445367;4470825
789;Francisco Javier Ramirez Sangines;CALLE;del Doctor Esquerdo;180;Madrid;442757;4472583
790;Francisco Sirvent Mira;CALLE;de Periana;13;Madrid;441610;4468760
791;Francisco Javier Ramos Hernandez;CALLE;Carabanchel;1;Parla;434092;4454913
792;Onofre Lorente Sánchez;CALLE;del Moscatelar;1-Q;Madrid;444868;4478727
793;Maria De La Paz Valles Moreno;CALLE;de la Virgen de Lluc;11;Madrid;445085;4476377
794;Isabel Garcia Rivera;CALLE;de Seseña;31;Madrid;435316;4472237
795;Teresa Manresa Logroño;CALLE;Gran Avenida;29;Madrid;439976;4469075
796;Maria Jesus Martinez Jimenez;PLAZA;de San Cristóbal;s/n;Madrid;449494;4477867
797;Carlos Garcia Rufo;CALLE;de los Misterios;8;Madrid;445744;4476678
798;Oscar Gonzalez Herranz;CALLE;de Marina Usera;3;Madrid;439411;4470441
799;Marta Melo Barrera;CALLE;de Torres Miranda;12;Madrid;440640;4472189
800;Francisco Ferrer Fernandez;CALLE;de San Florencio;5;Madrid;444002;4472854
801;Begoña Fernanz Muñoz;CALLE;de la Imagen;19;Madrid;443349;4470549
802;Noelia Gonzalez Andres;CALLE;de Boix y Morer;14;Madrid;440103;4476891
803;Ramon Moraleda Garcia De Los Huertos;CALLE;Vía Carpetana;73;Madrid;437440;4472025
804;Adan Atila Ochoa Cabrero;CALLE;de Tomás Bretón;14;Madrid;441030;4472093
805;Consuelo Lorenzo Molina;CALLE;de los Embajadores;122;Madrid;440706;4472345
806;Elena Gavilan Fernandez;CALLE;de Núñez de Balboa;80;Madrid;442154;4475955
807;Nuria Serrano Gimeno;CALLE;de San Aniceto;10;Madrid;448468;4477355
808;Olga Martin Aparicio;CALLE;de Calero Pita;39;Madrid;443001;4470247
809;Angela Martinez Peñalva;CALLE;de la Fuente de Piedra;2;Madrid;445554;4470353
810;Angel Herrero De Lucas;PLAZA;del Conde de Casal;8;Madrid;443068;4473079
811;Paula Barba San Roman;CALLE;del Príncipe de Vergara;75;Madrid;442363;4476277
812;Juana Cortina Pelayo;CALLE;de Sambara;67;Madrid;444919;4476216
813;Francisco De La Cuadra Blanco;PLAZA;de Redondela;3;Madrid;439900;4480869
814;Marta Corbera Moreno;CALLE;de Pedro Rico;13;Madrid;441157;4481765
815;Emilia Bautista Martin;PLAZA;de las Asambleas;10;Madrid;439857;4468886
816;Licinia Teres Landeta;AVDA;de las Glorietas;20;Madrid;444015;4469359
817;Maria Concepcion Miguelez Furones;CALLE;Vía Carpetana;344;Madrid;436886;4471373
818;Froilan Cabria Pariente;CALLE;de Baños de Montemayor;4;Madrid;440306;4472207
819;Mª Teresa Faundez Garcia;CALLE;de Hontalbilla;11;Madrid;441453;4482618
821;Vicente Delicado Moreno;CALLE;de López de Hoyos;301;Madrid;443993;4478808
822;José Antonio Sierra Martínez;CALLE;de los Hermanos García Noblejas;77;Madrid;446629;4475300
823;Ana Rivero Diaz;CALLE;del Talco;33;Madrid;439308;4466508
824;Gerino García-Zabarte Rodríguez;CALLE;de Coca;4;Madrid;436439;4472799
825;José Manuel Herrero García;CALLE;de Agustín de Foxá;25;Madrid;441883;4480214
826;José María Lara Tejedor;CALLE;de Antonio Casero;26;Madrid;443435;4474550
827;Alejandro Garcia Bermejo;CALLE;del Apóstol Santiago;43;Madrid;444462;4475400
828;Francisco Jose Hernandez Ruiz;CALLE;del Hierro;s/n;Madrid;441292;4471535
829;Jose Antonio Ramirez Terol;CALLE;del Avefría;32;Madrid;437904;4470601
831;Maria Angeles Jimenez-Laiglesia Pan;CALLE;de Santa Beatriz;17;Madrid;443817;4472567
832;Mª De Los Angeles Garcia Lopez-Gasco;CALLE;de José Arcones Gil;70;Madrid;446042;4475784
833;Nuria Villanueva Martin;CALLE;de Ajofrín;6;Madrid;446977;4475129
834;Alicia Esteban  Bravo;CALLE;de Santurce;5;Madrid;445708;4475178
835;Patricia Alferez Garcia;CALLE;de Ezequiel Solana;54;Madrid;445302;4475725
836;Manuela Cezar Rodriguez;AVDA;de la Gran Vía del Sureste;36;Madrid;449702;4467971
837;Irene Lopez Gutierrez;CALLE;de Narciso Serra;18;Madrid;442432;4472965
838;Pedro Yagüe Agueda;CALLE;de Olite;48;Madrid;440069;4478229
839;Nuria Marco Pancorbo;CALLE;de la Virgen del Val;9;Madrid;444558;4476610
840;Beatriz Vera Muñoz;CALLE;del Jacobeo;46;Madrid;435352;4468664
841;Rita Hermoso Molinos;CALLE;de Melchor Fernández Almagro;8;Madrid;440817;4481050
843;Rosario Segovia Sanchez;CALLE;de los Condes de Barcelona;5;Madrid;439392;4471881
844;Angela Gallardo Guerra;CALLE;de Ferrer del Río;42;Madrid;443161;4476352
845;Enrique Martin Fernandez;CALLE;de Sánchez Preciado;21;Madrid;439678;4478967
846;Eduardo Velasco Calderon;CALLE;de los Andaluces;9;Madrid;445964;4471238
847;Jaime Antonio Acosta Gomez;CALLE;de Jorge Juan;131;Madrid;443222;4474952
848;Maria Jose Sanchez Romero;AVDA;de Las Suertes;98;Madrid;449743;4468245
849;Jesus Maria Baztan Guembe;CALLE;de Ercilla;20;Madrid;440356;4472687
850;David Plaza Piñol;CALLE;de Antonio de Leyva;51;Madrid;439273;4471370
851;Arantzazu Marta Grande Ozcariz;CALLE;de Sánchez Pacheco;17;Madrid;442647;4477581
852;Luis Civera Garcia;CALLE;Cerrajeros;2;Alcalá de Henares;469106;4481333
853;Jose Luis Garcia Joya;CALLE;de Orense;29;Madrid;441043;4478133
854;Lucas David Noguerales Yagüe;CALLE;del Puerto Alto;21;Madrid;443342;4471672
855;Santiago De Jegús Cortés Cortés;CALLE;de Matilde Landa;7;Madrid;441432;4480370
856;Jose Ignacio Rodriguez Buezas;CALLE;de Edgar Neville;35;Madrid;440913;4478122
857;Ana Maria Parra Fernandez;CALLE;de Lagasca;106;Madrid;441953;4476119
858;Josefina De La Riva Vazquez;PASEO;de la Habana;6;Madrid;441474;4477658
859;Maria Del Mar Sobrino Moreno;CALLE;de San Jorge;13;Madrid;443379;4470999
860;Florinda Gonzalez Quintas;CALLE;de Núñez de Balboa;53;Madrid;442084;4475419
861;Mª Itziar Erdocia Arce;CALLE;de Pilar de Zaragoza;102;Madrid;442806;4476606
862;Maria Lourdes Silva Cruz-Villalon;CALLE;de la Golondrina;31;Madrid;433435;4478171
863;Irene Patricia Sáez Zubiri;CALLE;de Vicente Espinel;26;Madrid;445609;4476062
864;Fares Zeidan Chulia;CALLE;de San Raimundo;13;Madrid;440264;4478142
865;Margarita Muñoz Sanchez-Capuchino;CALLE;de Antonio López;152;Madrid;440445;4471264
866;Geya Ye Liu;CALLE;de Antonio Salvador;64;Madrid;440272;4470736
868;Pilar Hinojal Martin;CALLE;de Cartagena;77;Madrid;443007;4476552
869;Patricia Garcia Gomez;CALLE;del Conde de Peñalver;51;Madrid;442705;4475746
870;Julia Sanchez-Escribano Garcia-Tizon;AVDA;de Filipinas;2;Madrid;439626;4476754
871;Juan Carlos Francia Moncalvillo;CALLE;de la Iglesia;12;Madrid;439080;4471925
872;Mª Del Mar Alvarez Blazquez;CALLE;de Juan Tornero;42;Madrid;438259;4473714
873;Mª Isabel San Gil Hernandez;CALLE;de Maldonado;38;Madrid;442542;4476089
874;Maria Teresa Rubio Esquide;CALLE;de Arturo Soria;54;Madrid;445593;4477140
875;José Burgos Guerrero;CALLE;del Alcaraván;9;Madrid;437199;4471888
876;Elena Linde Garcia;CALLE;de Ramos Carrión;3;Madrid;443261;4477569
877;Herederos De Aquilino Fernandez Garcia;CALLE;Estudiantes;4;Getafe;437413;4462267
878;Antonio Luis Galindo Hurtado De Mendoza;AVDA;de la Ciudad de Barcelona;108;Madrid;442018;4472924
879;Susana De La Hoz Galiano;CALLE;de Miramadrid;18;Madrid;439986;4470332
880;Mª Teresa Sanz Martin;CALLE;de la Virgen de Nuria;5;Madrid;444583;4476353
881;Gloria Amparo Gomez Garcia;CALLE;de Minerva;141;Madrid;448442;4471761
882;Josefa Herranz Herranz;CALLE;de la Laguna;48;Madrid;437011;4471220
883;Beatriz Peña Ginel;CALLE;de Lazaga;9;Madrid;440743;4478796
884;Ana Ynaraja Ramirez;PASEO;de Alberto Palacios;49;Madrid;439338;4466153
885;Mª Teresa Jimenez Barba;CALLE;de la Infanta Mercedes;103;Madrid;441179;4479434
886;Daniel Vega Menendez;CALLE;de los Hermanos García Noblejas;21;Madrid;446124;4476174
887;Francisco Javier Terron Roca;PASEO;de Extremadura;310;Madrid;434885;4472155
888;Dominica Oliver Farner;CALLE;del Ansar;61;Madrid;436963;4472862
889;Raquel Adrian Adrian;CALLE;de Linneo;15;Madrid;438878;4473770
890;Francisco Javier Lora Blanco;CALLE;de la Vía;8;Madrid;438732;4470912
891;Gonzalo Perez Sanchez;CALLE;de San Marcelo;6;Madrid;444165;4475350
892;Alvaro Abascal Diaz;CALLE;de Francisco Silvela;36;Madrid;442958;4476026
893;Laura Franqueza García;CALLE;de Perseo;8;Madrid;443340;4473164
894;Ruben Rodriguez Martinez;AVDA;de Canillejas a Vicálvaro;137;Madrid;448174;4475274
895;Jose Mª Sanchez-Brunete Alvarez;CALLE;del Doce de Octubre;2;Madrid;442536;4474088
896;Maria Del Carmen Teresa Sanchez Sanz;CALLE;de Alfredo Marquerie;14;Madrid;440087;4481962
897;Pedro Javier Perez Junco;CALLE;de Clara del Rey;37;Madrid;443143;4477093
898;Magdalena Ballesteros Jimenez;CALLE;de Pirra;14;Madrid;450031;4477312
899;Maria Angeles Nuñez Dominguez;CALLE;del Puerto del Monasterio;7;Madrid;443603;4471785
900;Adela Sanchez Quiros;CALLE;del Romeral;4;Madrid;440786;4466772
901;Susana Otero Senin;AVDA;de la Albufera;258;Madrid;445459;4471045
902;Rosa Mª Prats Gimenez;CALLE;Real;25;Aranjuez;448637;4431745
903;Jordi Ferrandiz Oropesa;CALLE;de las Naves;22;Madrid;440106;4472238
904;Helena Calle Rodriguez;AVDA;de Palomeras;152;Madrid;444930;4470765
905;Mª Mar Medina Puerta;CALLE;de Cea Bermúdez;4;Madrid;440100;4476717
906;Maria Mercedes Sanchez-Casas Perez;CALLE;de San Julio;5;Madrid;442287;4477042
907;Miriam Batuecas Mohedano;CALLE;de Amado Nervo;4;Madrid;442618;4473477
908;Mª De Las Mercedes Manzano Garcia;CALLE;de Ramón Luján;2;Madrid;440173;4470964
909;David Avellana Moreno;CALLE;de Ibiza;66;Madrid;443113;4474350
910;Marco Antonio Moreno Santurino;CALLE;de los Hermanos García Noblejas;7;Madrid;445952;4476495
911;Lucía López-Carballo Camino;CALLE;de Corazón de María;19;Madrid;443295;4477084
913;Maria Del Dulce Nombre Granda San Miguel;PASEO;de las Acacias;69;Madrid;439469;4472492
914;Inmaculada Ballestero Fernández;CALLE;de Alejandro González;4;Madrid;443688;4475693
915;Maria Jose Hervella Arias;CALLE;de Modesto Lafuente;53;Madrid;440977;4477224
916;Beatriz Martin Garcia;CALLE;de Emilio Serrano;28;Cercedilla;409904;4510354
917;Concepcion Vivar Bueno;CALLE;de Ríos Rosas;14;Madrid;440423;4477042
918;Antonio Lopez Dominguez;CALLE;de los Hermanos García Noblejas;37;Madrid;446356;4475977
919;Maria Dolores Riera Fernandez-Hidalgo;CALLE;del Óbolo;25;Madrid;437034;4469235
920;María Aurora Martín Pedraza;CUSTA;de San Vicente;30;Madrid;439199;4474678
921;Julian Gomez Del Rio Garcia-Suarez;CALLE;Mayor;88;Madrid;439490;4474085
922;Alfonso Ramos Muñoz;PLAZA;Padre Vallet;2;Pozuelo de Alarcón;430930;4476437
923;Maria Garcia-Cuerva Abengoza;CALLE;de La del Soto del Parral;12;Madrid;440673;4467777
924;Alejandro Aparicio Sanchez;CALLE;de Gómez de Arteche;1;Madrid;436034;4469104
925;Carmen Yolanda Perez Taño;CALLE;de Bailén;16;Madrid;439425;4473792
926;Eva Sofia Garcia Baumgaertner;AVDA;de Alfonso XIII;139;Madrid;442806;4479041
927;Herederos De Adela Rivas Martinez;CALLE;de Andrés Mellado;49;Madrid;439406;4476362
928;Carlos Eduardo Sanz Jimenez;CALLE;de Lazcano;1;Madrid;441025;4466984
929;Mª Cristina Hernandez Del Castillo;CALLE;de José del Hierro;42;Madrid;445248;4476723
930;Cristina Serrat Sagues;CALLE;de los Urquiza;19;Madrid;445274;4475993
931;Emilio Arranz Arranz;BULEV;de José Prat;35;Madrid;447497;4472056
932;Asunción Ballesteros Rubio;RONDA;de la Comunicación;s/n;Madrid;443826;4485190
933;Manuel Maria Caamaño Somoza;CALLE;de los Ferroviarios;69;Madrid;440190;4470570
934;Mª Jesus Jimenez Martin;CALLE;Madrid;91;Getafe;438076;4462445
935;Jesus Maria Gonzalez Andres;CALLE;del General Ramírez de Madrid;27;Madrid;440863;4478761
936;Maria Carmen Sanz Cillero;PLAZA;de Boston;1;Madrid;443536;4476570
937;Isabel Cascante Burgos;PASEO;de la Castellana;113;Madrid;441429;4478671
938;Javier Cantalapiedra Fernandez;CALLE;Luis Vives;11;Alcalá de Henares;468843;4480591
939;Yolanda Ramos Carrasco;CALLE;de Ramón Gómez de la Serna;7;Madrid;438669;4481463
940;Amparo Villamayor Collado;CALLE;de Luis Cabrera;82;Madrid;443033;4477309
941;Sonsoles Gonzalez Albertos;PASEO;de la Reina Cristina;14;Madrid;442097;4473127
942;Dolores Muñoz Ortega;CALLE;de Martínez Izquierdo;84;Madrid;443815;4476264
943;Angeles Vilas Gomez;CALLE;de Lira;8;Madrid;443231;4473289
945;Maria Isabel Carcedo Bolivar;AVDA;de Espinela;4;Madrid;439772;4466396
946;Sara Mª Sanchez Mentrida;CALLE;del Foso;19;Aranjuez;448993;4431582
947;Lorenzo Loste Lopez De Alda;CALLE;del Avefría;2;Madrid;438114;4470704
948;Silvia Pindado San Segundo;AVDA;de la Albufera;177;Madrid;444428;4471450
949;Javier Aquilino Corral Garcia-Segura;CALLE;de la Laguna de Cameros;1;Madrid;439590;4464996
950;Elena Manso Cascajero;CALLE;Mayor;15;Meco;472273;4489233
951;Mª Cruz Sierra Diaz Del Castillo;CALLE;de Cadarso;7;Madrid;439371;4474818
952;Maria Jose Salinas Lucas;CALLE;de la Oca;42;Madrid;437492;4471270
953;Maria Faustina Jimenez Conesa;CALLE;de Villajoyosa;88;Madrid;441280;4467314
954;Paloma Villanueva Gaviña;CALLE;de Marina Vega;42;Madrid;439437;4470183
956;Maria Asuncion Martinez Garcia;CALLE;del Real;58;San Sebastián de los Reyes;447066;4488707
957;Alicia Carpintero Tello;PLAZA;de Anocibar;9;Madrid;437521;4469818
958;Mª Jesus Marta Gago Cabezudo;CALLE;de Pradillo;13;Madrid;442763;4477786
959;Mª De Los Angeles Alonso Martin;CALLE;de Castrojeriz;10;Madrid;437259;4470999
960;Jesus Rafael Garcia Moreno;AVDA;de Oporto;93;Madrid;437878;4471065
961;Casilda Palencia Paraja;CALLE;de Velázquez;86;Madrid;442036;4475866
962;Jose Enrique Hours Perez;AVDA;de Las Suertes;s/n;Madrid;449290;4468900
963;Maria Coral Lopez  Carbonell;CALLE;de Mariano Benlliure;25;Madrid;443121;4470869
964;Laura María Ramos Sánchez;CALLE;de Maldonado;30;Madrid;442288;4476110
965;Carmen Alvarez Cuesta;CALLE;de la Huerta de Villaverde;50;Madrid;439467;4466682
966;Maria Eva Zar Alcoba;CALLE;Daoiz y Velarde;2;Alcalá de Henares;468811;4481851
967;Lorena Peñalver Torres;CALLE;de Arturo Soria;142;Madrid;444649;4478157
968;Francisco Javier Encinas Diez;CALLE;de la Ribera de Curtidores;37;Madrid;440013;4473150
969;Luis Panadero Carlavilla;CALLE;de Chimbo;23;Madrid;438222;4470449
970;Silvia Maria Pardo Bellanato;CALLE;de Velázquez;132;Madrid;442128;4476651
971;Mª Antonia Avello Soria;CALLE;de José Abascal;59;Madrid;441270;4476635
972;Maria Del Mar Bergillos Meca;CALLE;de los Hermanos de Pablo;41;Madrid;445182;4476524
973;Leire Martín Colino;PASEO;de Extremadura;6;Madrid;438441;4473981
974;Natalia Jimenez Sanchez;PLAZA;de Peñuelas;9;Madrid;440337;4472426
975;Amelia Pascual Ruiz;CALLE;de San Gumersindo;10;Madrid;444667;4475888
976;Elena Pecharroman Valdizan;CALLE;de La Hiruela;5;Madrid;439058;4480512
977;Carmen Sanchez Serrano;CALLE;de la Batalla del Salado;12;Madrid;440934;4472705
978;Santiago Mariano Lastres Baselga;CALLE;del General Millán-Astray;32;Madrid;434913;4469892
979;Rafael De La Peña Buquerin;PASEO;de la Chopera;31;Madrid;440569;4471848
980;Marina Sagasti Astuy;CALLE;de los Misterios;73;Madrid;445495;4476934
981;Maria Jose Ramirez Montalban;CALLE;de Fernando Gabriel;18;Madrid;445974;4475086
983;Federico Eduardo Masegosa Manresa;CALLE;de Modesto Lafuente;40;Madrid;440974;4476867
984;Marta Puerta Cañas;CALLE;de Serrano;222;Madrid;442308;4478213
985;Jose Luis Palomeque Fernandez;CALLE;de Valdecanillas;39;Madrid;446833;4475905
986;Ana Rubio  Aragones;CALLE;de Julián Camarillo;50;Madrid;447559;4476557
987;Isabel Carmen Cordoba Enriquez;CALLE;de Santiago de Compostela;s/n;Madrid;440167;4481349
988;Paula Caridad Golbano;CALLE;de Fernández de la Hoz;8;Madrid;441040;4475732
989;Irene Rivas Chacón;CALLE;de Ordicia;13;Madrid;439406;4468679
990;Maria Angeles Gonzalez Robles;CALLE;de Fuentidueña;37;Madrid;447215;4469193
991;Maria Del Dulce Nombre De Quintana Barajas;CALLE;de Juan Duque;30;Madrid;438943;4473649
992;Ana Puertas  Hernando;CALLE;de Martínez de la Riva;75;Madrid;443554;4471326
993;Cristina Villarias Sorli;CALLE;de José Arcones Gil;9;Madrid;445797;4476425
994;Marta Liberal Romero;CALLE;del Berrocal;7;Madrid;442544;4466318
995;Luz Angeles Moreno Rodriguez;PLAZA;de las Meninas;7;Madrid;437995;4469904
996;Jacinto Jesus Martinez Jimenez;CALLE;del General Ricardos;206;Madrid;437414;4470786
997;Jesus Buisan Catevilla;CALLE;de Garci-Nuño;31;Madrid;440603;4479832
998;Vicente Valenciano Marzo;CALLE;de Sánchez Barcaiztegui;37;Madrid;442885;4473044
999;Mª Rocio Zafra Marin;CALLE;de Monasterio de Arlanza;20;Madrid;441484;4484592
1000;Mª Del Carmen Fernandez Lopez;AVDA;de Oporto;15;Madrid;438690;4470745
1001;Mariam Abdo De Luis;CALLE;de la Infanta Mercedes;31;Madrid;440739;4478478
1003;Mª Gracia Romero Morales;PASEO;de Santa María de la Cabeza;167;Madrid;439408;4470998
1004;Sonsoles Perez Perez;CALLE;de Marcelino Castillo;25;Madrid;436859;4471584
1005;Beatriz Martin Herraez;CALLE;del Gasómetro;11;Madrid;439968;4472918
1006;Mª Asuncion Esteban Lazaro;CALLE;de Bravo Murillo;200;Madrid;440456;4478616
1007;Antonio Gomez Noval;CALLE;de Cazalegas;5;Madrid;438390;4469549
1008;Mª Remedios Diaz Ramirez;PLAZA;del Duque de Módena;2;Madrid;437790;4470036
1009;Mª Guadalupe Martin Carmena;CALLE;de Mieres;18;Madrid;446572;4475551
1010;Oscar Cesar Garcia Rodriguez;AVDA;de Abrantes;118;Madrid;437729;4469831
1011;Carmen Gastañaga Martinez;CALLE;de Sebastián Herrera;16;Madrid;440727;4472835
1012;Luisa Santolaya Vallecillos;CALLE;del Doctor Gómez Ulla;6;Madrid;443345;4475606
1013;Luz Maria Sanz Diaz;CALLE;de Rafael Salgado;19;Madrid;441703;4478419
1014;Piedad Perez Martinez De Ibarreta;CALLE;de San Valero;1;Madrid;444001;4472214
1015;Piedad Naranjo Vizuete;AVDA;de Manoteras;22;Madrid;443394;4482070
1016;Carmen Idoya Pina Viejo;CALLE;de Antolina Merino;13;Madrid;436885;4470828
1017;Mercedes Pizarro Sanchez;AVDA;del Cardenal Herrera Oria;4;Madrid;441802;4482511
1018;Efren Recio Martinez;AVDA;Real;29;Madrid;448348;4472688
1019;Maria Cuevas Galgo;CALLE;de Melquíades Álvarez;9;Madrid;439579;4476992
1020;Angeles Fernandez Lopez;PASEO;de la Castellana;274;Madrid;441808;4480640
1021;Carmen Cantarero Lopez-Santacruz;CALLE;de Vital Aza;79;Madrid;445867;4476093
1022;Juan Ignacio Moreno Mozo;AVDA;de San Diego;136;Madrid;443510;4470628
1023;Santiago Javier Sanchez Serrano;CALLE;de Méndez Álvaro;;Madrid;442504;4471679
1024;Pilar Rueda Ortiz;CALLE;de Montearagón;11;Madrid;444197;4479410
1025;Francisco Carmelo Sanchez Rabasco;CALLE;de Cañada del Santísimo;38;Madrid;449048;4468246
1026;Baltasar Escudero Gallego;CALLE;de la Hierbabuena;13;Madrid;440490;4479060
1027;Mª Carmen Gonzalez Piquero;CALLE;de Navalmoral de la Mata;40;Madrid;434009;4469841
1028;Carlos Jimenez Lopez;AVDA;de la Albufera;302;Madrid;445896;4470791
1029;Rafaela Madueño Garcia;CALLE;del Pez Volador;9;Madrid;443298;4473810
1030;Consuelo Izquierdo Gonzalez;CALLE;de Mariano Vela;41;Madrid;439719;4470618
1032;Marta Fuentes  Quiralte;CALLE;de la Infanta Catalina Micaela;15;Madrid;444454;4481899
1033;Sonsoles Esteban Aguado;CALLE;del Elfo;78;Madrid;445068;4476198
